"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","12750","0","0","0","5471.4","0","4268.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","22500","0","0","0","486.1","0","6.9","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","21750","0","0","0","615.1","0","15.45","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","22000","0","0","0","568.65","0","11.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","22250","0","0","0","525.95","0","9.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","21000","0","0","0","772.25","0","33.2","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","21250","0","0","0","716.35","0","25.85","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","21500","0","0","0","664","0","20.05","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","20000","56.6","56.6","29","32.45","33.5","32.45","58","580.94",".94","1750","1700","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","20250","0","0","0","962.8","0","68","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","20500","18","20","10","20","20","53.85","4","41.03",".03","100","100","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","20750","0","0","0","831.9","0","42.4","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","19250","0","0","0","1279.45","0","163.1","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","19500","35","52.4","25.05","50.15","50.2","50.15","338","3303.1","7.6","3950","3900","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","19750","0","0","0","1111.8","0","106.55","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","18250","101","185.8","101","169.4","160.75","169.4","101","929.59","7.97","1750","1750","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","18500","69.95","143.05","65","133.65","135.8","133.65","946","8803.39","52.89","16550","6600","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","18750","50","107.95","50","104","100","104","18","169.58",".83","550","500","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","19000","39.15","85.25","38.55","81.2","82","81.2","1081","10305.79","36.29","11950","5850","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","17250","272.6","496.45","272.6","470.5","473.8","470.5","408","3607.01","88.01","4250","2250","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","17500","219.95","392.65","207","377.55","363.45","377.55","1291","11510.27","214.02","14000","6200","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","17750","163.2","306.6","163.2","287.95","297.05","287.95","230","2068.98","27.73","3950","750","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","18000","110","240","110","228","219.9","228","2058","18725.85","203.85","29200","7450","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","16500","595.95","900","532.85","870.1","841.05","870.1","755","6492.61","263.86","8150","-6000","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","16750","465.75","745","440.9","724.8","735.4","724.8","680","5898.57","203.57","2550","-500","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","17000","340","616.9","340","587.55","580","587.55","2467","21616.63","647.13","20700","1950","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","15750","1094.15","1388.25","1094.15","1388.25","1388.25","1565.45","3","25.41","1.79","250","100","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","16000","880","1260","834.85","1232.75","1260","1232.75","102","867.45","51.45","9400","-1650","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","16250","719","1070.9","701.6","1024.6","997.7","1024.6","119","1016.83","49.95","4700","-1750","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","14500","0","0","0","3985.3","0","2591.95","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","14750","0","0","0","3791.35","0","2369.9","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","15000","1619.65","2020","1619.65","2020","2020","2155.1","2","16.82","1.82","1500","-50","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","15250","0","0","0","3419.8","0","1948.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","15500","0","0","0","3242","0","1751.65","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","13750","0","0","0","4596.75","0","3291.4","0","0","0","0","0","16981.3"
"BAJAJFINSV","03-Jan-2022","27-Jan-2022","CE","14000","2700","3004.9","2700","3004.9","3004.9","3053.75","2","16.85","2.85","500","100","16981.3"
